Journal,year,Citation,Data transparency,Analytic methods (Code),Materials,Design & analysis,Study prereg,Analysis prereg,Replication,TOP signatory,Reg reports,OS badges,COI1,COI2,COI3,COI4
Blood,2020,2,2,1,2,0,0,0,0,0,0,0,1,1,1,1
Blood,2021,0,2,2,2,1,0,0,0,0,0,0,1,1,1,1
BMJ,2020,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1
BMJ,2021,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1
Cell,2020,2,2,3,2,2,1,1,0,1,0,0,1,1,1,0
Cell,2021,2,2,3,2,2,1,1,1,1,0,0,1,1,1,0
Circulation,2020,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Circulation,2021,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Cochrane,2020,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1
Cochrane,2021,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1
Eur.Heart J.,2020,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
Eur.Heart J.,2021,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1
Gastroenterol,2020,2,2,0,1,1,0,0,0,0,0,0,1,1,1,1
Gastroenterol,2021,2,2,2,2,1,1,1,1,0,0,0,1,1,1,1
J.Am.Coll.Cardiol.,2020,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
J.Am.Coll.Cardiol.,2021,0,2,2,2,1,0,0,0,0,0,0,1,1,1,1
J.Clin Oncol.,2020,0,1,2,2,1,0,0,0,0,0,0,0,1,1,1
J.Clin Oncol.,2021,0,1,2,2,1,0,0,0,0,0,0,1,1,1,1
JAMA,2020,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
JAMA,2021,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1
Lancet,2020,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
Lancet,2021,0,1,0,1,2,1,0,0,0,0,0,1,1,1,1
Lancet Oncol.,2020,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
Lancet Oncol.,2021,0,1,0,1,2,1,0,0,0,0,0,1,1,1,1
Nat.Genet.,2020,2,2,2,2,2,1,1,1,1,0,0,1,1,1,1
Nat.Genet.,2021,2,2,3,2,2,1,1,1,1,0,0,1,1,1,1
Nat.Med.,2020,2,2,3,2,2,1,1,1,1,0,0,1,1,1,1
Nat.Med.,2021,2,2,3,2,2,1,1,1,1,0,0,1,1,1,1
Nat.Neurosci.,2020,2,2,3,2,2,1,1,1,1,0,0,1,1,1,1
Nat.Neurosci.,2021,2,2,3,2,2,1,1,1,1,0,0,1,1,1,1
NEJM,2020,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
NEJM,2021,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1
Neuron,2020,2,2,3,2,2,1,1,0,1,0,0,1,1,1,0
Neuron,2021,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1
PLoS ONE,2020,1,2,1,1,1,0,0,0,1,2,0,1,1,1,1
PLoS ONE,2021,1,2,2,2,2,0,0,3,1,2,0,1,1,1,1
PNAS,2020,1,2,2,2,1,1,1,1,0,0,0,1,1,1,1
PNAS,2021,1,2,2,2,1,1,1,0,1,0,0,1,1,1,1
Sci.Transl.Med.,2020,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1
Sci.Transl.Med.,2021,2,2,2,2,1,1,1,1,1,0,0,1,1,1,1
